Glyph,Unicode,Category,Concept,Operation,Weight
MUTEX_UNLOCK,,Scheduler,REL_MUTEX,MUTEX_RELEASE,0
TIMER_INIT,,Scheduler,INIT_TIMER,HPET_INIT,0
TIMER_SET,,Scheduler,SET_TIMER,TIMER_ARM,0
TIMER_CANCEL,,Scheduler,CANCEL_TIMER,TIMER_DISARM,0
IRQ_INIT,,Interrupts,INIT_IRQ,PIC_INIT,0
IRQ_REGISTER,,Interrupts,REG_IRQ,REQUEST_IRQ,0
IRQ_DEREGISTER,,Interrupts,UNREG_IRQ,FREE_IRQ,0
IRQ_ENABLE,,Interrupts,ENABLE_IRQ,ENABLE_IRQ,0
IRQ_DISABLE,,Interrupts,DISABLE_IRQ,DISABLE_IRQ,0
IRQ_ACK,,Interrupts,ACK_IRQ,ACK_APIC,0
IRQ_MASK,,Interrupts,MASK_IRQ,MASK_IRQ,0
IRQ_UNMASK,,Interrupts,UNMASK_IRQ,UNMASK_IRQ,0
IRQ_FIRE,,Interrupts,FIRE_IRQ,INT_INSTR,0
IRQ_ENABLE_GLOBAL,,Interrupts,ENABLE_ALL,STI_INSTR,0
NMI_HANDLER,,Interrupts,NMI_HNDL,NMI_ISR,0
EXCEPTION_HANDLER,,Interrupts,EXC_HNDL,EXC_ISR,0
SOFTIRQ_QUEUE,,Interrupts,QUEUE_SOFTIRQ,RAISE_SOFTIRQ,0
SOFTIRQ_RUN,,Interrupts,RUN_SOFTIRQ,DO_SOFTIRQ,0
TASKLET_SCHEDULE,,Interrupts,SCHED_TASKLET,TASKLET_SCHED,0
WORKQUEUE_INIT,,Interrupts,INIT_WQ,ALLOC_WORKQUEUE,0
WORK_QUEUE,,Interrupts,QUEUE_WORK,QUEUE_WORK,0
PCI_FIND_BY_CLASS,,PCI,PCI_FIND,PCI_CONFIG_READ,0
PCI_ENABLE_MASTERING,,PCI,PCI_MASTER,PCI_CMD_WRITE,0
PCI_READ_BAR0,,PCI,BAR0_READ,PCI_BAR_GET,0
MMIO_READ64,,NVMe,READ64,MMIO_GET,0
MMIO_WRITE32,,NVMe,WRITE32,MMIO_SET,0
NVME_DISABLE,,NVMe,CTRL_DIS,CC_EN_0,0
NVME_WAIT_READY_0,,NVMe,WAIT_RDY0,CSTS_RDY_CHK,0
NVME_SET_ADMIN_QUEUES,,NVMe,SET_AQA,AQA_WRITE,0
NVME_ENABLE,,NVMe,CTRL_EN,CC_EN_1,0
NVME_WAIT_READY_1,,NVMe,WAIT_RDY1,CSTS_RDY_CHK,0
NVME_IDENTIFY,,NVMe,IDENTIFY,ADMIN_CMD_06,0
NVME_CREATE_CQ,,NVMe,CREATE_CQ,ADMIN_CMD_05,0
NVME_CREATE_SQ,,NVMe,CREATE_SQ,ADMIN_CMD_01,0
WIFI_CARD_INIT,,Network,INIT_MAC,CSR_RESET,0
WIFI_FIRMWARE_LOAD,,Network,LOAD_MICROCODE,UCODE_LOAD,0
WIFI_SCAN,,Network,RADIO_SCAN,SCAN_BSSID,0
WIFI_ASSOCIATE_AP,,Network,ASSOCIATE,ASSOC_REQ,0
WIFI_AUTH_WPA3,,Network,AUTH_SAE,WPA3_SAE,0
ETH_INIT,,Network,INIT_ETH,E1000_RESET,0
ETH_GET_MAC,,Network,GET_MAC,E1000_RALAH,0
ETH_SETUP_TX,,Network,SETUP_TX,E1000_TDBAL,0
ETH_SETUP_RX,,Network,SETUP_RX,E1000_RDBAL,0
ETH_LINK_UP,,Network,LINK_UP,E1000_CTRL_SLU,0
ARP_RESOLVE,,Network,ARP_REQ,NET_ARP,0
DHCP_DISCOVER,,Network,DHCP_DSCV,NET_DHCP,0
DHCP_REQUEST,,Network,DHCP_REQ,NET_DHCP,0
ICMP_PING,,Network,PING,NET_ICMP,0
DNS_QUERY,,Network,DNS_RES,NET_DNS,0
TCP_OPEN,,Network,SOCKET,NET_TCP,0
TCP_CONNECT,,Network,CONNECT,NET_TCP,0
TCP_CLOSE,,Network,CLOSE,NET_TCP,0
TLS_HANDSHAKE,,Network,TLS_INIT,NET_TLS,0
TLS_SEND,,Network,TLS_TX,NET_TLS,0
VFS_INIT,,Filesystem,INIT_VFS,VFS_BOOT,0
TMPFS_ALLOC,,Filesystem,ALLOC_RAMFS,TMPFS_MOUNT,0
FAT32_MOUNT,,Filesystem,MOUNT_FAT32,VFAT_MOUNT,0
FAT32_READ,,Filesystem,READ_FAT32,VFAT_READ,0
CGL_MOUNT,,Filesystem,MOUNT_VAULT,CGL_FS_MOUNT,0
CGL_UNMOUNT,,Filesystem,UNMOUNT_VAULT,CGL_FS_UNMOUNT,0
CGL_READ,,Filesystem,READ_FILE,VFS_READ,0
CGL_WRITE,,Filesystem,WRITE_FILE,VFS_WRITE,0
CGL_DELETE,,Filesystem,DEL_FILE,VFS_UNLINK,0
CGL_MKDIR,,Filesystem,MAKE_DIR,VFS_MKDIR,0
CGL_LIST,,Filesystem,LIST_DIR,VFS_READDIR,0
CGL_STAT,,Filesystem,STAT_FILE,VFS_STAT,0
XHCI_HALT,,USB,HALT_XHCI,XHCI_USBCMD,0
XHCI_INIT,,USB,INIT_XHCI,XHCI_HCRST,0
XHCI_SETUP_RINGS,,USB,SETUP_RINGS,XHCI_CRCR_ERSTBA,0
XHCI_START,,USB,START_XHCI,XHCI_USBCMD_RS,0
XHCI_ENUM,,USB,ENUM_PORTS,XHCI_PORTSC,0
USB_DESCRIBE,,USB,GET_DESC,USB_REQ_DESC,0
USB_STORAGE_READ,,USB,READ_MASS,USB_BULK_IN,0
GPU_PLL_INIT,,Graphics,INIT_PLL,DPLL_CTRL1,0
GPU_DDI_ENABLE,,Graphics,ENABLE_DDI,DDI_BUF_CTL,0
GPU_GET_GOP,,Graphics,GET_GOP,UEFI_FB_BASE,0
GPU_PLANE_ENABLE,,Graphics,ENABLE_PLANE,DSPCNTR,0
GPU_SETUP_RING,,Graphics,SETUP_RING,RCS_RING_BASE,0
I8042_STATUS_READ,,Input,READ_I8042_STAT,PORT_0x64_READ,0
I8042_BUFFER_FLUSH,,Input,FLUSH_I8042,PORT_0x60_FLUSH,0
I8042_KBD_ENABLE,,Input,KBD_ENABLE,PORT_0x64_0xAE,0
I8042_IRQ_ENABLE,,Input,KBD_IRQ_EN,KBD_INT_ON,0
I8042_DATA_READ,,Input,READ_I8042_DATA,PORT_0x60_READ,0
I2C_BUS_SCAN,,Input,I2C_SCAN,I2C_DW_INIT,0
I2C_TOUCHPAD_RESET,,Input,TOUCH_RESET,I2C_HID_RESET,0
I2C_IRQ_ENABLE,,Input,TOUCH_IRQ_EN,I2C_HID_INT_ON,0
I2C_TOUCH_READ_XY,,Input,TOUCH_READ,I2C_HID_GET_REPORT,0
HDA_CONTROLLER_RESET,,Audio,RESET_HDA,HDA_GCTL_CRST,0
HDA_SETUP_RINGS,,Audio,SETUP_CORB_RIRB,HDA_CORB_RIRB_BASE,0
HDA_READ_CODEC,,Audio,READ_CODEC,HDA_CORB_SEND,0
HDA_SET_VOLUME,,Audio,SET_VOL,HDA_PIN_WIDGET,0
HDA_SETUP_STREAM,,Audio,SETUP_STREAM,HDA_SD0_CBL,0
SLAB_CREATE_NAMED,,Memory,CREATE_SLCACH,KMEM_CACHE_CREATE,0
SLAB_ALLOC,,Memory,ALLOC_SLCACH,KMEM_CACHE_ALLOC,0
RCU_INIT,,Sync,INIT_RCU,RCU_BOOT,0
RCU_READ_LOCK,,Sync,LOCK_RCU_RD,RCU_READ_LOCK,0
RCU_READ_UNLOCK,,Sync,UNLK_RCU_RD,RCU_READ_UNLOCK,0
RCU_SYNCHRONIZE,,Sync,SYNC_RCU,SYNCHRONIZE_RCU,0
KASAN_INIT,,Security,INIT_KASAN,KASAN_EARLY_INIT,0
KASAN_POISON,,Security,POISON_MEM,KASAN_POISON_MEM,0
CRYPTO_HW_INIT,,Crypto,INIT_HW_CYP,AESNI_INIT,0
SHA256_HASH,,Crypto,HASH_SHA256,SHA256_INSN,0
IO_SCHED_INIT,,BlockIO,INIT_ELEVATOR,ELEVATOR_INIT,0
IO_QUEUE_DEPTH,,BlockIO,SET_QDEPTH,BLK_MQ_DEPTH,0
BIO_CONFIG,,BlockIO,CFG_BIO,BIO_INIT,0
BIO_SUBMIT_QUEUE,,BlockIO,SUBMIT_BIO,BLK_MQ_SUBMIT,0
BIO_WAIT_CQ,,BlockIO,WAIT_BIO,BLK_MQ_POLL,0
GUI_CLEAR_SCREEN,,GUI,CLR_SCR,GOP_CLEAR,0
GUI_DRAW_RECT,,GUI,DRAW_RECT,GOP_RECT,0
GUI_DRAW_TEXT,,GUI,DRAW_TEXT,GOP_TEXT,0
GUI_DRAW_LINE,,GUI,DRAW_LINE,GOP_LINE,0
𐢊,U+1088A,System,NT_ACCEL,NT_SYSCALL_INGEST,0
𐢋,U+1088B,Graphics,BYPASS,DISPLAY_BYPASS_CLAIM,0
𐢌,U+1088C,Sovereign,DISK_SEAT,SOVEREIGN_MIRROR,0
